lemma,english,aux,ich,du,er,ihr,wir,Sie,partizip,preps,reflexive,past,case,trennbar
erhalten,"to obtain, receive",haben,erhalte,erhaltest,erhaltet,erhaltet,erhalten,erhalten,erhalten,,FALSE,erhaltete,Akk,FALSE
heißen,to be called,haben,heiße,heißt,heißt,heißt,heißen,heißen,geheißen,,FALSE,hieß,Akk,FALSE
eigen,own,haben,eige,eigst,eigt,eigt,eigen,eigen,geeigt,,FALSE,eigte,Akk,FALSE
klein,"small, little",haben,kleie,kleist,kleit,kleit,klein,klein,gekleit,,FALSE,kleite,Akk,FALSE
arbeiten,to work,haben,arbeite,arbeitest,arbeitet,arbeitet,arbeiten,arbeiten,gearbeitet,an; bei; mit,FALSE,arbeitete,Akk,FALSE
bekommen,"to get, receive",haben,bekomme,bekommst,bekommt,bekommt,bekommen,bekommen,bekommen,,FALSE,bekam,Akk,FALSE
berichten,"to report, tell",haben,berichte,berichtest,berichtet,berichtet,berichten,berichten,berichtet,von; über,FALSE,berichtete,Akk,FALSE
bestehen,"to exist, insist, pass an exam",haben,bestehe,bestehst,besteht,besteht,bestehen,bestehen,bestanden,auf; aus; in,FALSE,bestehte,Akk,FALSE
bieten,"to offer, bid",haben,biete,bietest,bietet,bietet,bieten,bieten,geboten,,FALSE,bot,Akk,FALSE
erklären,"to explain, make clear",haben,erkläre,erklärst,erklärt,erklärt,erklären,erklären,erklärt,,FALSE,erklärte,Akk,FALSE
erreichen,"to achieve, attain, reach",haben,erreiche,erreichst,erreicht,erreicht,erreichen,erreichen,erreicht,,FALSE,erreichte,Akk,FALSE
folgen,to follow,haben,folge,folgst,folgt,folgt,folgen,folgen,gefolgt,,FALSE,folgte,Dat,FALSE
fordern,"to demand, require, ask, claim",haben,fordere,forderst,fordert,fordert,fordern,fordern,gefordert,,FALSE,forderte,Akk,FALSE
gelten,to be valid,haben,gelte,geltest,geltet,geltet,gelten,gelten,gegolten,,FALSE,geltete,Akk,FALSE
gewinnen,"to win, gain",haben,gewinne,gewinnst,gewinnt,gewinnt,gewinnen,gewinnen,gewonnen,,FALSE,gewann,Akk,FALSE
leben,"life, living",haben,lebe,lebst,lebt,lebt,leben,leben,gelebt,,FALSE,lebte,Akk,FALSE
meinen,"to think, opine",haben,meine,meinst,meint,meint,meinen,meinen,gemeint,,FALSE,meinte,Akk,FALSE
mögen,"to like, may",haben,mag,magst,mag,mögt,mögen,mögen,gemocht,,FALSE,mochte,Infinitiv,FALSE
nennen,to name,haben,nenne,nennst,nennt,nennt,nennen,nennen,genannt,,FALSE,nannte,Akk,FALSE
schaffen,"to manage, pull off",haben,schaffe,schaffst,schafft,schafft,schaffen,schaffen,geschafft,,FALSE,schaffte,Akk,FALSE
schreiben,to write,haben,schreibe,schreibst,schreibt,schreibt,schreiben,schreiben,geschrieben,an; über,FALSE,schrieb,Akk,FALSE
setzen,"to set, put, place in a seated position",haben,setze,setzt,setzt,setzt,setzen,setzen,gesetzt,,FALSE,setzte,Akk,FALSE
sprechen,to speak,haben,spreche,sprichst,spricht,sprecht,sprechen,sprechen,gesprochen,mit; von; über,FALSE,sprach,Akk,FALSE
steigen,"to climb, rise, increase",sein,steige,steigst,steigt,steigt,steigen,steigen,gestiegen,,FALSE,stieg,Akk,FALSE
treffen,"to meet, hit",haben,treffe,triffst,trifft,trefft,treffen,treffen,getroffen,,FALSE,traf,Akk,FALSE
tun,to do,haben,tue,tust,tut,tut,tun,tun,getan,,FALSE,tat,Akk,FALSE
wissen,to know (facts),haben,weiß,weißt,weiß,wisst,wissen,wissen,gewusst,,FALSE,wusste,Akk,FALSE
ziehen,"to pull, move, drag",haben,ziehe,ziehst,zieht,zieht,ziehen,ziehen,gezogen,,FALSE,zog,Akk,FALSE
schön,beautiful,haben,schöe,schöst,schöt,schöt,schön,schön,geschöt,,FALSE,schöte,Akk,FALSE
vergangen,"past, bygone",haben,vergange,vergangst,vergangt,vergangt,vergangen,vergangen,vergangt,,FALSE,vergangte,Akk,FALSE
neben,"beside, next to",haben,nebe,nebst,nebt,nebt,neben,neben,genebt,,FALSE,nebte,Akk,FALSE
davon,"of or from it / them, thereof",haben,davoe,davost,davot,davot,davon,davon,gedavot,,FALSE,davote,Akk,FALSE
brauchen,to need,haben,brauche,brauchst,braucht,braucht,brauchen,brauchen,gebraucht,,FALSE,brauchte,Akk,FALSE
denken,to think,haben,denke,denkst,denkt,denkt,denken,denken,gedacht,an; über,FALSE,dachte,Akk,FALSE
entscheiden,to decide,haben,entscheide,entscheidest,entscheidet,entscheidet,entscheiden,entscheiden,entschieden,für; gegen,FALSE,entscheidete,Akk,FALSE
entstehen,"to originate, develop",sein,entstehe,entstehst,entsteht,entsteht,entstehen,entstehen,entstanden,,FALSE,entstehte,Akk,FALSE
erwarten,"to expect, await",haben,erwarte,erwartest,erwartet,erwartet,erwarten,erwarten,erwartet,,FALSE,erwartete,Akk,FALSE
fehlen,"to be lacking, missing",haben,fehle,fehlst,fehlt,fehlt,fehlen,fehlen,gefehlt,,FALSE,fehlte,Dat,FALSE
feiern,to celebrate,haben,feiere,feierst,feiert,feiert,feiern,feiern,gefeiert,,FALSE,feierte,Akk,FALSE
laufen,"to run, walk",sein,laufe,läufst,läuft,lauft,laufen,laufen,gelaufen,,FALSE,lief,Akk,FALSE
legen,"to lay, put, place",haben,lege,legst,legt,legt,legen,legen,gelegt,,FALSE,legte,Akk,FALSE
planen,to plan,haben,plane,planst,plant,plant,planen,planen,geplant,,FALSE,plante,Infinitiv,FALSE
scheinen,"to seem, appear, shine",haben,scheine,scheinst,scheint,scheint,scheinen,scheinen,geschienen,,FALSE,schien,Infinitiv,FALSE
sorgen,"to worry, to care",haben,sorge,sorgst,sorgt,sorgt,sorgen,sorgen,gesorgt,für,FALSE,sorgte,Akk,FALSE
suchen,"to seek, look for, look up",haben,suche,suchst,sucht,sucht,suchen,suchen,gesucht,nach,FALSE,suchte,Akk,FALSE
tragen,"to carry, to wear",haben,trage,trägst,trägt,tragt,tragen,tragen,getragen,,FALSE,trug,Akk,FALSE
übernehmen,"to assume (responsibility), take on, take over",haben,übernehme,übernehmst,übernehmt,übernehmt,übernehmen,übernehmen,übernommen,,FALSE,übernehmte,Akk,FALSE
verlieren,to lose,haben,verliere,verlierst,verliert,verliert,verlieren,verlieren,verloren,,FALSE,verlierierte,Akk,FALSE
versuchen,"to try, attempt",haben,versuche,versuchst,versucht,versucht,versuchen,versuchen,versucht,,FALSE,versuchte,Infinitiv,FALSE
allein,alone,haben,alleie,alleist,alleit,alleit,allein,allein,gealleit,,FALSE,alleite,Akk,FALSE
zusammen,"together, en masse",haben,zusamme,zusammst,zusammt,zusammt,zusammen,zusammen,gezusammt,,FALSE,zusammte,Akk,FALSE
offen,"open, frank, honest",haben,offe,offst,offt,offt,offen,offen,geofft,,FALSE,offte,Akk,FALSE
verschieden,"different, diverse",haben,verschiede,verschiedest,verschiedet,verschiedet,verschieden,verschieden,verschiedt,,FALSE,verschiedete,Akk,FALSE
bauen,to build,haben,baue,baust,baut,baut,bauen,bauen,gebaut,,FALSE,baute,Akk,FALSE
erzählen,to tell,haben,erzähle,erzählst,erzählt,erzählt,erzählen,erzählen,erzählt,von; über,FALSE,erzählte,Akk,FALSE
fragen,to ask,haben,frage,fragst,fragt,fragt,fragen,fragen,gefragt,nach,FALSE,fragte,Akk,FALSE
glauben,to believe,haben,glaube,glaubst,glaubt,glaubt,glauben,glauben,geglaubt,an,FALSE,glaubte,Dat,FALSE
helfen,to help,haben,helfe,helfst,helft,helft,helfen,helfen,geholfen,bei,FALSE,half,Dat,FALSE
hören,to hear,haben,höre,hörst,hört,hört,hören,hören,gehört,,FALSE,hörte,Akk,FALSE
kennen,"to know (person, place), to be aware of, acquainted w/",haben,kenne,kennst,kennt,kennt,kennen,kennen,gekannt,,FALSE,kennte,Akk,FALSE
nutzen,to use,haben,nutze,nutzt,nutzt,nutzt,nutzen,nutzen,genutzt,,FALSE,nutzte,Akk,FALSE
rechnen,"to reckon, calculate, count, do arithmetic",haben,rechne,rechnest,rechnet,rechnet,rechnen,rechnen,gerechnet,,FALSE,rechnete,Akk,FALSE
schlagen,"to hit, beat, slug",haben,schlage,schlagst,schlagt,schlagt,schlagen,schlagen,geschlagen,,FALSE,schlagte,Akk,FALSE
schließen,"to close, shut, conclude",haben,schließe,schließt,schließt,schließt,schließen,schließen,geschlossen,,FALSE,schließte,Akk,FALSE
sitzen,"sit, to be sitting, to be based",haben,sitze,sitzt,sitzt,sitzt,sitzen,sitzen,gesessen,,FALSE,saß,Akk,FALSE
teilen,"to divide, share",haben,teile,teilst,teilt,teilt,teilen,teilen,geteilt,durch; mit,FALSE,teilte,Akk,FALSE
unterstützen,"to support, promote",haben,unterstütze,unterstützt,unterstützt,unterstützt,unterstützen,unterstützen,unterstützt,,FALSE,unterstützte,Akk,FALSE
verstehen,to understand,haben,verstehe,verstehst,versteht,versteht,verstehen,verstehen,verstanden,,FALSE,verstand,Akk,FALSE
wählen,"to elect, choose, select, dial (phone)",haben,wähle,wählst,wählt,wählt,wählen,wählen,gewählt,zwischen,FALSE,wählte,Akk,FALSE
zählen,"to count, total, tally",haben,zähle,zählst,zählt,zählt,zählen,zählen,gezählt,zu,FALSE,zählte,Akk,FALSE
dagegen,"against it / them, however, on the contrary, in contrast",haben,dagege,dagegst,dagegt,dagegt,dagegen,dagegen,gedagegt,,FALSE,dagegte,Akk,FALSE
daran,"thereon, at it, on it, to it",haben,darae,darast,darat,darat,daran,daran,gedarat,,FALSE,darate,Akk,FALSE
inzwischen,"meanwhile, since then, by then",haben,inzwische,inzwischst,inzwischt,inzwischt,inzwischen,inzwischen,geinzwischt,,FALSE,inzwischte,Akk,FALSE
ändern,"to change, alter",haben,ändere,änderst,ändert,ändert,ändern,ändern,geändert,,FALSE,änderte,Akk,FALSE
bestätigen,to confirm,haben,bestätige,bestätigst,bestätigt,bestätigt,bestätigen,bestätigen,bestätigt,,FALSE,bestätigte,Akk,FALSE
bezeichnen,"to designate, label, describe",haben,bezeichne,bezeichnest,bezeichnet,bezeichnet,bezeichnen,bezeichnen,bezeichnet,,FALSE,bezeichnete,Akk,FALSE
bilden,"to form, educate",haben,bilde,bildest,bildet,bildet,bilden,bilden,gebildet,,FALSE,bildete,Akk,FALSE
einsetzen,"to put in, insert, deploy",haben,einsetze,einsetzt,einsetzt,einsetzt,einsetzen,einsetzen,eingesetzt,,FALSE,einsetzte,Akk,TRUE
entsprechen,to correspond to,haben,entspreche,entsprechst,entsprecht,entsprecht,entsprechen,entsprechen,entsprochen,,FALSE,entsprechte,Akk,FALSE
erinnern,to remind,haben,erinnere,erinnerst,erinnert,erinnert,erinnern,erinnern,erinnert,an,FALSE,erinnerte,Akk,FALSE
gelingen,"to be successful, to succeed",sein,gelinge,gelingst,gelingt,gelingt,gelingen,gelingen,gelungen,,FALSE,gelingte,Dat,FALSE
hoffen,to hope,haben,hoffe,hoffst,hofft,hofft,hoffen,hoffen,gehofft,auf,FALSE,hoffte,Infinitiv,FALSE
holen,"to fetch, to go get",haben,hole,holst,holt,holt,holen,holen,geholt,,FALSE,holte,Akk,FALSE
kosten,"expenses, costs",haben,koste,kostest,kostet,kostet,kosten,kosten,gekostet,,FALSE,kostete,Akk,FALSE
laden,"to load, charge",haben,lade,ladest,ladet,ladet,laden,laden,geladen,,FALSE,ladete,Akk,FALSE
lernen,"to learn, to study, to do homework",haben,lerne,lernst,lernt,lernt,lernen,lernen,gelernt,aus; von,FALSE,lernte,Infinitiv,FALSE
lesen,to read /,haben,lese,liest,liest,lest,lesen,lesen,gelesen,von; über,FALSE,las,Akk,FALSE
melden,"to report, announce, notify",haben,melde,meldest,meldet,meldet,melden,melden,gemeldet,,FALSE,meldete,Akk,FALSE
öffnen,to open [cognate],haben,öffne,öffnest,öffnet,öffnet,öffnen,öffnen,geöffnet,,FALSE,öffnete,Akk,FALSE
präsentieren,to present [cognate],haben,präsentiere,präsentierst,präsentiert,präsentiert,präsentieren,präsentieren,präsentiert,,FALSE,präsentierierte,Akk,FALSE
stammen,"to stem, originate",haben,stamme,stammst,stammt,stammt,stammen,stammen,gestammt,,FALSE,stammte,Akk,FALSE
starten,"to launch, start",haben,starte,startest,startet,startet,starten,starten,gestartet,,FALSE,startete,Akk,FALSE
sterben,to die,sein,sterbe,sterbst,sterbt,sterbt,sterben,sterben,gestorben,an,FALSE,sterbte,Akk,FALSE
stimmen,to vote,haben,stimme,stimmst,stimmt,stimmt,stimmen,stimmen,gestimmt,für; gegen,FALSE,stimmte,Akk,FALSE
verlassen,to leave sb/sth,haben,verlasse,verlasst,verlasst,verlasst,verlassen,verlassen,verlassen,auf,FALSE,verlasste,Akk,FALSE
verletzen,"to injure, harm, breach",haben,verletze,verletzt,verletzt,verletzt,verletzen,verletzen,verletzt,,FALSE,verletzte,Akk,FALSE
wachsen,"to grow, increase",haben,wachse,wachst,wachst,wachst,wachsen,wachsen,gewachsen,,FALSE,wachste,Akk,FALSE
warten,to wait,haben,warte,wartest,wartet,wartet,warten,warten,gewartet,auf,FALSE,wartete,Akk,FALSE
wirken,"to appear, seem, work, have an effect, take effect",haben,wirke,wirkst,wirkt,wirkt,wirken,wirken,gewirkt,,FALSE,wirkte,Akk,FALSE
eben,"even, level, smooth, just",haben,ebe,ebst,ebt,ebt,eben,eben,geebt,,FALSE,ebte,Akk,FALSE
einzeln,"individual, single",haben,einzele,einzelst,einzelt,einzelt,einzeln,einzeln,geeinzelt,,FALSE,einzelte,Akk,TRUE
hin,"[indicates movement away from speaker],",haben,hie,hist,hit,hit,hin,hin,gehit,,FALSE,hite,Akk,FALSE
weiterhin,"furthermore, still, in addition",haben,weiterhie,weiterhist,weiterhit,weiterhit,weiterhin,weiterhin,geweiterhit,,FALSE,weiterhite,Akk,TRUE
anbieten,"to provide, offer",haben,anbiete,anbietest,anbietet,anbietet,anbieten,anbieten,angeboten,,FALSE,anbietete,Akk,TRUE
aufnehmen,"to record, include",haben,aufnehme,aufnehmst,aufnehmt,aufnehmt,aufnehmen,aufnehmen,aufgenommen,,FALSE,aufnehmte,Akk,TRUE
bedeuten,"to mean, signify",haben,bedeute,bedeutest,bedeutet,bedeutet,bedeuten,bedeuten,bedeutet,,FALSE,bedeutete,Akk,FALSE
betonen,"to emphasize, stress",haben,betone,betonst,betont,betont,betonen,betonen,betont,,FALSE,betonte,Akk,FALSE
betragen,to amount to,haben,betrage,betragst,betragt,betragt,betragen,betragen,betragen,,FALSE,betragte,Akk,FALSE
bitten,"to request, ask",haben,bitte,bittest,bittet,bittet,bitten,bitten,gebeten,um,FALSE,bat,Akk,FALSE
drohen,"to threaten, to be in danger of",haben,drohe,drohst,droht,droht,drohen,drohen,gedroht,,FALSE,drohte,Infinitiv,FALSE
entwickeln,to develop,haben,entwickele,entwickelst,entwickelt,entwickelt,entwickeln,entwickeln,entwickelt,,FALSE,entwickelte,Akk,FALSE
erhöhen,"to raise, increase, heighten",haben,erhöhe,erhöhst,erhöht,erhöht,erhöhen,erhöhen,erhöht,,FALSE,erhöhte,Akk,FALSE
erkennen,"to realize, recognize, perceive",haben,erkenne,erkennst,erkennt,erkennt,erkennen,erkennen,erkannt,,FALSE,erkennte,Akk,FALSE
eröffnen,to open,haben,eröffne,eröffnest,eröffnet,eröffnet,eröffnen,eröffnen,eröffnet,,FALSE,eröffnete,Akk,FALSE
gründen,"to establish, found",haben,gründe,gründest,gründet,gründet,gründen,gründen,gegründet,,FALSE,gründete,Akk,FALSE
leisten,"to achieve, perform, render",haben,leiste,leistest,leistet,leistet,leisten,leisten,geleistet,,TRUE,leistete,Dat,FALSE
reichen,"to reach, to be enough",haben,reiche,reichst,reicht,reicht,reichen,reichen,gereicht,,FALSE,reichte,Akk,FALSE
rufen,"to call, shout",haben,rufe,rufst,ruft,ruft,rufen,rufen,gerufen,,FALSE,rief,Akk,FALSE
verbinden,"to connect, to bind",haben,verbinde,verbindest,verbindet,verbindet,verbinden,verbinden,verbunden,,FALSE,verbindete,Akk,FALSE
vertreten,to represent sb or sth,haben,vertrete,vertretest,vertretet,vertretet,vertreten,vertreten,vertreten,,FALSE,vertretete,Akk,FALSE
verwenden,"to use, apply, employ",haben,verwende,verwendest,verwendet,verwendet,verwenden,verwenden,verwendet,,FALSE,verwendete,Akk,FALSE
vorstellen,"to introduce, suggest",haben,vorstelle,vorstellst,vorstellt,vorstellt,vorstellen,vorstellen,vorgestellt,,TRUE,vorstellte,Dat,TRUE
weisen,"to indicate, point out",haben,weise,weist,weist,weist,weisen,weisen,gewiesen,,FALSE,weiste,Akk,FALSE
werfen,to throw,haben,werfe,werfst,werft,werft,werfen,werfen,geworfen,,FALSE,warf,Akk,FALSE
zahlen,to pay,haben,zahle,zahlst,zahlt,zahlt,zahlen,zahlen,gezahlt,für,FALSE,zahlte,Akk,FALSE
allgemein,general(ly),haben,allgemeie,allgemeist,allgemeit,allgemeit,allgemein,allgemein,geallgemeit,,FALSE,allgemeite,Akk,FALSE
modern,modern,haben,modere,moderst,modert,modert,modern,modern,gemodert,,FALSE,moderte,Akk,FALSE
dreizehn,,haben,dreizehe,dreizehst,dreizeht,dreizeht,dreizehn,dreizehn,zwanzig,,FALSE,dreizehte,Akk,FALSE
darin,"in it, therein",haben,darie,darist,darit,darit,darin,darin,gedarit,,FALSE,darite,Akk,FALSE
dein,your (thine),haben,deie,deist,deit,deit,dein,dein,gedeit,,FALSE,deite,Akk,FALSE
immerhin,after all,haben,immerhie,immerhist,immerhit,immerhit,immerhin,immerhin,geimmerhit,,FALSE,immerhite,Akk,FALSE
oben,"above, at the top",haben,obe,obst,obt,obt,oben,oben,geobt,,FALSE,obte,Akk,FALSE
selten,seldom,haben,selte,seltest,seltet,seltet,selten,selten,geseltt,,FALSE,seltete,Akk,FALSE
zufrieden,"pleased, satisfied",haben,zufriede,zufriedest,zufriedet,zufriedet,zufrieden,zufrieden,gezufriedt,,FALSE,zufriedete,Akk,FALSE
beschließen,"to resolve, decide",haben,beschließe,beschließt,beschließt,beschließt,beschließen,beschließen,beschlossen,,FALSE,beschließte,Akk,FALSE
beschreiben,to describe,haben,beschreibe,beschreibst,beschreibt,beschreibt,beschreiben,beschreiben,beschrieben,,FALSE,beschreibte,Akk,FALSE
besuchen,"to visit, attend",haben,besuche,besuchst,besucht,besucht,besuchen,besuchen,besucht,,FALSE,besuchte,Akk,FALSE
beteiligen,"to participate, partake",haben,beteilige,beteiligst,beteiligt,beteiligt,beteiligen,beteiligen,beteiligt,an,FALSE,beteiligte,Akk,FALSE
dauern,"to last, endure",haben,dauere,dauerst,dauert,dauert,dauern,dauern,gedauert,,FALSE,dauerte,Akk,FALSE
dienen,to serve,haben,diene,dienst,dient,dient,dienen,dienen,gedient,,FALSE,diente,Dat,FALSE
erfahren,"to experience, find out, to learn, to hear",haben,erfahre,erfahrst,erfahrt,erfahrt,erfahren,erfahren,erfahren,von,FALSE,erfahrte,Akk,FALSE
erfolgen,"to take place, occur",haben,erfolge,erfolgst,erfolgt,erfolgt,erfolgen,erfolgen,erfolgt,,FALSE,erfolgte,Akk,FALSE
ergeben,to result in,haben,ergebe,ergebst,ergebt,ergebt,ergeben,ergeben,ergeben,,FALSE,ergebte,Akk,FALSE
erleben,"to experience, to undergo an experience",haben,erlebe,erlebst,erlebt,erlebt,erleben,erleben,erlebt,,FALSE,erlebte,Akk,FALSE
kämpfen,"to brawl, fight",haben,kämpfe,kämpfst,kämpft,kämpft,kämpfen,kämpfen,gekämpft,für; gegen,FALSE,kämpfte,Akk,FALSE
kaufen,to buy,haben,kaufe,kaufst,kauft,kauft,kaufen,kaufen,gekauft,,FALSE,kaufte,Akk,FALSE
kritisieren,to criticize,haben,kritisiere,kritisierst,kritisiert,kritisiert,kritisieren,kritisieren,kritisiert,,FALSE,kritisierierte,Akk,FALSE
reden,"to speak, talk",haben,rede,redest,redet,redet,reden,reden,geredet,mit; von; über,FALSE,redete,Akk,FALSE
scheitern,"to fail, founder",sein,scheitere,scheiterst,scheitert,scheitert,scheitern,scheitern,gescheitert,,FALSE,scheiterte,Akk,FALSE
sichern,"to secure, ensure",haben,sichere,sicherst,sichert,sichert,sichern,sichern,gesichert,,FALSE,sicherte,Akk,FALSE
singen,to sing,haben,singe,singst,singt,singt,singen,singen,gesungen,,FALSE,singte,Akk,FALSE
verhindern,to prevent,haben,verhindere,verhinderst,verhindert,verhindert,verhindern,verhindern,verhindert,,FALSE,verhinderte,Akk,FALSE
verkaufen,to sell,haben,verkaufe,verkaufst,verkauft,verkauft,verkaufen,verkaufen,verkauft,,FALSE,verkaufte,Akk,FALSE
wechseln,"to change, switch",haben,wechsele,wechselst,wechselt,wechselt,wechseln,wechseln,gewechselt,,FALSE,wechselte,Akk,FALSE
wünschen,to wish,haben,wünsche,wünschst,wünscht,wünscht,wünschen,wünschen,gewünscht,,FALSE,wünschte,Akk,FALSE
abschließen,"to lock, conclude",haben,abschließe,abschließt,abschließt,abschließt,abschließen,abschließen,abgeschlossen,,FALSE,abschließte,Akk,TRUE
ankündigen,to announce,haben,ankündige,ankündigst,ankündigt,ankündigt,ankündigen,ankündigen,angekündigt,,FALSE,ankündigte,Akk,TRUE
belegen,"to attend (a class), to cover, to prove",haben,belege,belegst,belegt,belegt,belegen,belegen,belegte,,FALSE,belegte,Akk,FALSE
bestimmen,"to decide, determine",haben,bestimme,bestimmst,bestimmt,bestimmt,bestimmen,bestimmen,bestimmt,,FALSE,bestimmte,Akk,FALSE
darstellen,"to depict, portray",haben,darstelle,darstellst,darstellt,darstellt,darstellen,darstellen,dargestellt,,FALSE,darstellte,Akk,FALSE
einladen,"to invite, to load",haben,einlade,einladest,einladet,einladet,einladen,einladen,eingeladen,zu,FALSE,einladete,Akk,TRUE
entdecken,to discover,haben,entdecke,entdeckst,entdeckt,entdeckt,entdecken,entdecken,entdeckt,,FALSE,entdeckte,Akk,FALSE
enthalten,to contain,haben,enthalte,enthaltest,enthaltet,enthaltet,enthalten,enthalten,enthalten,,FALSE,enthaltete,Akk,FALSE
erzielen,"to achieve, reach",haben,erziele,erzielst,erzielt,erzielt,erzielen,erzielen,erzielt,,FALSE,erzielte,Akk,FALSE
fördern,"to promote, support",haben,fördere,förderst,fördert,fördert,fördern,fördern,gefördert,,FALSE,förderte,Akk,FALSE
geraten,"to get in(to), to turn out",haben,gerate,geratest,geratet,geratet,geraten,geraten,geraten,,FALSE,geratete,Akk,FALSE
hängen,to hang,haben,hänge,hängst,hängt,hängt,hängen,hängen,gehängt,,FALSE,hängte,Akk,FALSE
kündigen,"to terminate, resign, cancel",haben,kündige,kündigst,kündigt,kündigt,kündigen,kündigen,gekündigt,,FALSE,kündigte,Akk,FALSE
leiten,to lead,haben,leite,leitest,leitet,leitet,leiten,leiten,geleitet,,FALSE,leitete,Akk,FALSE
liefern,"to deliver, supply, provide",haben,liefere,lieferst,liefert,liefert,liefern,liefern,geliefert,,FALSE,lieferte,Akk,FALSE
lösen,"to solve, loosen",haben,löse,löst,löst,löst,lösen,lösen,gelöst,,FALSE,löste,Akk,FALSE
passieren,to happen,sein,passiere,passierst,passiert,passiert,passieren,passieren,passiert,,FALSE,passierierte,Akk,FALSE
reagieren,to react,haben,reagiere,reagierst,reagiert,reagiert,reagieren,reagieren,reagiert,,FALSE,reagierierte,Akk,FALSE
stattfinden,to take place,haben,stattfinde,stattfindest,stattfindet,stattfindet,stattfinden,stattfinden,stattgefunden,,FALSE,stattfindete,Akk,FALSE
überzeugen,"to convince, persuade",haben,überzeuge,überzeugst,überzeugt,überzeugt,überzeugen,überzeugen,überzeugt,von,FALSE,überzeugte,Akk,FALSE
verbessern,to improve,haben,verbessere,verbesserst,verbessert,verbessert,verbessern,verbessern,verbessert,,FALSE,verbesserte,Akk,FALSE
verdienen,"to earn, deserve",haben,verdiene,verdienst,verdient,verdient,verdienen,verdienen,verdient,,FALSE,verdiente,Akk,FALSE
verlangen,"ro require, demand",haben,verlange,verlangst,verlangt,verlangt,verlangen,verlangen,verlangt,,FALSE,verlangte,Akk,FALSE
versprechen,to promise,haben,verspreche,versprechst,versprecht,versprecht,versprechen,versprechen,versprochen,,FALSE,versprechte,Akk,FALSE
