#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
89;lange;long;Das dauert lange.;That takes a long time.;adverb;كتير / فترة طويلة;;;long;;;
90;fahren;to drive / travel;Ich fahre nach Berlin.;I’m going to Berlin.;verb;يسوق / يركب (مواصلات);;fahre;going;;;
91;reden;to talk;Wir müssen reden.;We need to talk.;verb;يتكلم;;;talk;;;
92;bleiben;to stay;Ich bleibe hier.;I'm staying here.;verb;يفضل / يبقى;;bleibe;staying;;;
93;jeder;everyone;Jeder macht Fehler.;Everyone makes mistakes.;pronoun;كل واحد;;;Everyone;;;
94;nun;now / well;Was machen wir nun?;What do we do now?;adverb;دلوقتي / بقى;;;now;;;
95;schön;beautiful / nice;Das ist sehr schön.;That is very nice.;adjective;جميل;;;nice;;;
96;heute;today;Heute ist ein guter Tag.;Today is a good day.;adverb;النهارده;;;Today;;;
97;sicher;sure / safe;Bist du sicher?;Are you sure?;adjective;أكيد / آمن;;;sure;;;
98;junge;boy;Der Junge wartet draußen.;The boy is waiting outside.;noun;ولد / شاب;m;;boy;;;
99;fragen;to ask;Ich möchte dich etwas fragen.;I want to ask you something.;verb;يسأل;;;ask;;;
100;Gott;God;Mein Gott, was ist das?;My God, what is that?;noun;ربنا;m;;God;;;
100;weiter;further / continue;Wir reden später weiter.;We'll continue talking later.;adverb;كمل / قدّام;m;;continue;;;
101;jemand;someone;Jemand hat an der Tür geklingelt.;Someone rang the doorbell.;pronoun;حدّ;;;Someone;;;
102;arbeit;work;Ich habe heute viel Arbeit.;I have a lot of work today.;noun;شغل;f;;work;;;
103;damit;using it / so that;Was soll ich damit machen?;What should I do with it?;conjunction;بيه / علشانه (حسب السياق);;;with it;;;
104;kennen;to know (someone);Ich kenne ihn seit Jahren.;I’ve known him for years.;verb;يعرف;;kenne;known;;;
105;Jahre;years;Nach drei Jahren bin ich zurück.;After three years I'm back.;noun;سنين;n;;years;;;
106;bis;until;Ich bleibe bis morgen.;I'll stay until tomorrow.;conjunction;لحد;;;until;;;
107;kleine;small (feminine/plural);Ich nehme lieber die kleine Option.;I'd rather take the small option.;adjective;صغير / صغيرة;;;small;;;
108;erst;only / not until;Ich komme erst später.;I'm coming only later.;adverb;بس / لسه / الأول;;;only;;;
109;zurück;back;Ich komme gleich zurück.;I’ll be right back.;adverb;راجع / رجوع;;;back;;;
110;große;big (feminine/plural);Ich nehme lieber die große Option.;I'd rather take the big option.;adjective;كبير / كبيرة;;;big;;;
111;helfen;to help;Kannst du mir helfen?;Can you help me?;verb;يساعد;;;help;;;
112;na;well / so…;Na, wie geht’s dir?;Well, how are you?;interjection;طب / يعني (كلمة حشو);;;Well;;;
113;sprechen;to speak;Ich spreche ein bisschen Deutsch.;I speak a little German.;verb;يتكلم;;spreche;speak;;;
114;Kinder;children;Die Kinder schlafen schon.;The children are already asleep.;noun;عيال / أطفال;n;;children;;;
115;zwei;two;Ich habe zwei Katzen.;I have two cats.;number;اتنين;;;two;;;
116;hallo;hello;Hallo, wie geht’s?;Hello, how are you?;interjection;هالو / أهلاً;;;Hello;;;
117;alter;dude (informal);Alter, was machst du da?;Dude, what are you doing?;noun;يا راجل! / يا نهار أبيض! ;n;;Dude;;;
118;Leute;people;Viele Leute kennen ihn.;Many people know him.;noun;ناس;f;;people;;;
119;Vater;father;Mein Vater kocht gern.;My father likes cooking.;noun;أبّ / بابا;m;;father;;;
120;Freund;friend (male);Mein Freund wohnt in Berlin.;My friend lives in Berlin.;noun;صاحب / صديق;m;;friend;;;
121;genau;exactly;Ja, genau so!;Yes, exactly like that!;adverb;بالظبط;;;exactly;;;
122;versuchen;to try / attempt;Ich versuche es nochmal.;I'll try it again.;verb;يحاول;;versuche;try;;;
123;morgen;tomorrow;Wir sehen uns morgen.;We’ll see each other tomorrow.;adverb;بكرة;;;tomorrow;;;
124;passiert;happened;Was ist passiert?;What happened?;verb;حصل;;;happened;;;
125;klar;clear / sure;Ja, klar, ich komme mit.;Yeah, sure, I’ll come with you.;adjective;واضح / تمام;;;sure;;;
126;richtig;correct / really;Das ist richtig gut.;That is really good.;adjective;صح;;;really;;;
127;spielen;to play;Wollen wir später spielen?;Do we want to play later?;verb;يلعب;;;play;;;
128;neue;new (fem./plural);Ich brauche neue Schuhe.;I need new shoes.;adjective;جديد / جديدة;;;new;;;
129;darf;may / allowed to;Du darfst hier nicht rauchen.;You’re not allowed to smoke here.;verb;مسموح له / ينفع;;;allowed to;;;
130;ab;from / off;Der Bus fährt ab hier.;The bus leaves from here.;prep;من / ابتداءً من (أكتر معنى مستخدم);;;from;;;
131;gerade;right now / just;Ich esse gerade.;I’m eating right now.;adverb;لسه / حالياً;;;right now;;;
132;durch;through;Wir gehen durch den Park.;We’re walking through the park.;prep;من خلال;;;through;;;
133;Geld;money;Ich habe kein Geld dabei.;I don’t have any money with me.;noun;فلوس;n;;money;;;
134;letzte;last (fem.);Ich nehme lieber die letzte Option.;I'd rather take the last option.;adjective;آخر / أخيرة;;;last;;;
135;töten;to kill;Er will niemanden töten.;He doesn’t want to kill anyone.;verb;يقتل;;;kill;;;
136;gleich;in a moment / same;Ich bin gleich da.;I’ll be there in a moment.;adverb;حالاً / دلوقتي كمان شوية;;;in a moment;;;
137;recht;right / quite;Du hast vollkommen recht.;You are completely right.;noun;حق / عنده حق;n;;right;;;
138;menschen;people / humans;Hier sind immer viele Menschen.;There are always many people here.;noun;ناس / بشر;m;;people;;;
139;sterben;to die;Niemand will jung sterben.;Nobody wants to die young.;verb;يموت;;;die;;;
140;raus;out (informal);Geh bitte raus.;Please go out.;adverb;برا;;;out;;;
141;Mutter;mother;Meine Mutter ruft mich an.;My mother is calling me.;noun;أم / ماما;f;;mother;;;
142;ob;whether / if;Ich weiß nicht, ob er kommt.;I don’t know whether he’s coming.;conjunction;إذا / لو;;;whether;;;
143;paar;a few / couple;Wir sehen uns in ein paar Minuten.;We’ll see each other in a few minutes.;adjective;شوية / كام;;;a few;;;
144;nächste;next (fem.);Nehmen wir die nächste Bahn?;Should we take the next train?;adjective;الجاي / الجاية;;;next;;;
145;Herr;gentleman / Mr.;Guten Tag, Herr Müller.;Good day, Mr. Müller.;noun;أستاذ / سِت (حسب السياق، غالباً “أستاذ”);m;;Mr;;;
146;bekommen;to get / receive;Ich habe eine Nachricht bekommen.;I got a message.;verb;ياخد / يستلم;;;got;;;
147;Namen;names;Ich kann mir keine Namen merken.;I can’t remember names.;noun;أسماء;m;;names;;;
148;wohl;probably / supposedly;Er kommt wohl später.;He will probably come later.;adverb;غالباً / شكله كده;;;probably;;;
149;krieg;war;Niemand will Krieg.;Nobody wants war.;noun;حرب;m;;war;;;
150;scheiße;shit (vulgar);Scheiße, ich habe den Bus verpasst.;Shit, I missed the bus.;noun;زفت / خرا (شتيمة خفيفة);f;;Shit;;;
151;verdammt;damn / damned;Das ist verdammt schwer.;That is damn hard.;adjective;يانهار أسود / اللعنة (حسب الموقف);;;damn;;;
152;suchen;to search / look for;Ich suche meine Schlüssel.;I’m looking for my keys.;verb;يدور على;;suche;looking for;;;
153;erzählt;told / has told;Er hat mir alles erzählt.;He told me everything.;verb;حكَى / قال;;;told;;;
154;nacht;night;In der Nacht ist es sehr ruhig.;At night it is very quiet.;noun;بالليل;f;;night;;;
155;läuft;runs / is running;Der Film läuft schon.;The movie is already running.;verb;شغّال / ماشي;;;running;;;
156;essen;to eat;Wir essen heute Pizza.;We’re eating pizza today.;verb;يأكل / أكل;;;eating;;;
157;selbst;self / even;Mach es selbst!;Do it yourself!;pronoun;بنفسه / بنفسها;;;yourself;;;
158;her;here (towards speaker);Komm her!;Come here!;adverb;هنا (تعال هنا);;;here;;;
159;ohne;without;Ich kann nicht ohne dich.;I can’t live without you.;prep;من غير;;;without;;;
160;schnell;fast;Komm bitte schnell.;Please come quickly.;adjective;بسرعة;;;quickly;;;
161;tot;dead;Mein Handy ist fast tot.;My phone is almost dead.;adjective;ميت;;;dead;;;
162;stimmt;that's right / true;Ja, das stimmt.;Yes, that’s true.;verb;مظبوط;;;that’s;;;
163;holen;to get / fetch;Ich hole Getränke.;I’ll get some drinks.;verb;يجيب;;hole;get;;;
164;gar;at all / really;Ich kenne ihn gar nicht.;I don’t know him at all.;adverb;خالص;;;at all;;;
165;wieso;why (how come);Wieso bist du so müde?;How come you're so tired?;adverb;ليه;;;How come;;;
166;treffen;to meet;Wir treffen uns morgen.;We’ll meet tomorrow.;verb;يقابل;;;meet;;;
167;beide;both;Wir kennen beide den Weg.;We both know the way.;pronoun;الاتنين;;;both;;;
168;dort;there;Ich war dort schon mal.;I have been there before.;adverb;هناك;;;there;;;
169;natürlich;of course / naturally;Natürlich helfe ich dir.;Of course I’ll help you.;adverb;طبعًا;;;Of course;;;
170;stellen;to put / place;Stell das Glas auf den Tisch.;Put the glass on the table.;verb;يحط / يقدّم;;Stell;Put;;;
171;später;later;Wir reden später.;We’ll talk later.;adverb;بعدين / لاحقًا;;;later;;;
172;Sache;thing / matter;Das ist nicht meine Sache.;That’s not my business.;noun;حاجة / موضوع;f;;business;;;
173;niemand;nobody;Niemand weiß es.;Nobody knows.;pronoun;مفيش حد;;;Nobody;;;
174;ordnung;order / okay;Alles ist in Ordnung.;Everything is okay.;noun;نظام / تمام ;f;;okay;;;
175;ruf;call (noun/verb stem);Ich gebe dir später einen Ruf.;I’ll give you a call later.;verb;نادي / اتصل (حسب الجملة);;;call;;;
176;dinge;things;Manche Dinge ändern sich nie.;Some things never change.;noun;حاجات;n;;things;;;
177;liegt;lies / is located;Leipzig liegt in Sachsen.;Leipzig is located in Saxony.;verb;موجود / واقع;;;is located;;;
178;Mädchen;girl;Das Mädchen wartet draußen.;The girl is waiting outside.;noun;بنت;n;;girl;;;
179;vergessen;to forget;Ich habe dein Buch vergessen.;I forgot your book.;verb;ينسى;;;forgot;;;
180;seit;since / for;Ich lebe seit einem Jahr in Deutschland.;I’ve lived in Germany for a year.;prep;من ساعة / من (زمن);;;for;;;
181;welche;which;Welche Jacke gefällt dir?;Which jacket do you like?;pronoun;أيّ / اللي;;;Which;;;
182;ach;oh / ah;Ach, so ist das!;Oh, that’s how it is!;interjection;آخ / آاه (تعبير);;;Oh;;;
183;davon;of that / from that;Ich wusste nichts davon.;I didn’t know about it.;adverb;منه / عنها / من ده (حسب السياق);;;about it;;;
184;zeigen;to show;Zeig mir dein Foto.;Show me your photo.;verb;يوري / يوضح;;Zeig;Show;;;
185;Problem;problem;Wir haben ein großes Problem.;We have a big problem.;noun;مشكلة;n;;problem;;;
186;allein;alone;Ich will allein sein.;I want to be alone.;adverb;لوحده / لوحدها;;;alone;;;
187;verloren;lost;Ich habe meinen Schlüssel verloren.;I lost my key.;verb;ضايع / خسر;;;lost;;;
188;dafür;for that / instead;Ich bin dafür, früher zu gehen.;I’m in favor of leaving earlier.;adverb;علشان كده / مقابل كده;;;favor;;;
189;drei;three;Wir brauchen drei Stühle.;We need three chairs.;number;تلاتة;;;three;;;
190;hin;to / toward;Geh da hin!;Go there!;adverb;هناك / ناحيته;;;there;;;
191;rein;in / inside (informal);Komm rein!;Come in!;adverb;جوّه;;;in;;;
192;schau;look (imperative);Schau mal!;Look!;verb;بصّ;;;Look;;;
193;abend;evening;Heute Abend kochen wir zusammen.;This evening we’re cooking together.;noun;بالليل / المساء;m;;evening;;;
194;sorgen;to worry / care;Mach dir keine Sorgen.;Don’t worry.;verb;يقلق / يهتم;;;worry;;;
195;unter;under;Meine Tasche liegt unter dem Tisch.;My bag is under the table.;prep;تحت;;;under;;;
196;angst;fear / anxiety;Ich habe Angst vor Hunden.;I’m afraid of dogs.;noun;خوف;f;;afraid;;;
197;Welt;world;Die Welt ist gerade ziemlich verrückt.;The world is pretty crazy right now.;noun;العالم;f;;world;;;
198;schaffen;to manage / accomplish;Du schaffst das!;You can do it!;verb;يقدر / ينجز;;schaffst;do;;;
199;fühle;feel (I feel);Ich fühle mich heute gut.;I feel good today.;verb;حاسس / حاسة;;;feel;;;
200;schlafen;to sleep;Ich kann heute schlecht schlafen.;I can sleep badly today.;verb;ينام;;;sleep;;;
201;Musik;music;Ich höre gern Musik.;I like listening to music.;noun;مزيكا;f;;music;;;
202;Hand;hand;Gib mir deine Hand.;Give me your hand.;noun;إيد;f;;hand;;;
203;zusammen;together (physically);Wir arbeiten zusammen.;We work together.;adverb;مع بعض;;;together;;;
204;wahr;TRUE;Das ist nicht wahr.;That’s not true.;adjective;حقيقي;;;true;;;
205;ziehen;to pull;Zieh die Tür zu dir.;Pull the door towards you.;verb;يشدّ / يسحب;;Zieh;Pull;;;
206;Bruder;brother;Mein Bruder lebt in Köln.;My brother lives in Cologne.;noun;أخ / أخويا;m;;brother;;;
207;Moment;moment;Einen Moment, bitte.;One moment, please.;noun;لحظة;m;;moment;;;
208;genug;enough;Das ist genug für heute.;That is enough for today.;adverb;كفاية;;;enough;;;
209;echt;really / genuine;Das ist echt schön.;That’s really nice.;adverb;بجد;;;really;;;
210;setzen;to sit / put;Setz dich bitte.;Please sit down.;verb;يقعد / يحطّ;;Setz;sit;;;
211;Sohn;son;Mein Sohn ist fünf Jahre alt.;My son is five years old.;noun;ابن;m;;son;;;
212;gegen;against;Ich bin gegen die Idee.;I'm against the idea.;prep;ضد;;;against;;;
213;wenig;little / few;Ich habe wenig Zeit.;I have little time.;adjective;قليل;;;little;;;
214;toll;great;Das war wirklich toll.;That was really great.;adjective;جامد / رهيب;;;great;;;
215;einmal;once / one time;Mach es nur einmal.;Do it only once.;adverb;مرة;;;once;;;
216;sonst;otherwise/naturally/apart from;Beeil dich, sonst kommen wir zu spät.;Hurry up, otherwise we will be late.;adverb;غير كده / وإلا;;;otherwise;;;
217;Familie;family;Meine Familie wohnt weit weg.;My family lives far away.;noun;عيلة;f;;family;;;
218;erinnern;to remember;Ich erinnere mich nicht.;I don’t remember.;verb;يفتكر / يفكّره;;erinnere;remember;;;
219;passt;fit / happen;Passt dir morgen?;Does tomorrow work for you?;verb;خلي بالك / انتبه;;passt;work;;;
220;Schatz;darling / treasure;Guten Morgen, Schatz.;Good morning, darling.;noun;حبيبي / حبيبتي;m;;darling;;;
221;nennen;to call / name;Nenn mich einfach Tom.;Just call me Tom.;verb;يسمي;;Nenn;call;;;
222;dabei;with it / while;Ich bin nicht dabei gewesen.;I wasn’t there.;adverb;معاه / في نفس الوقت;;;there;;;
223;sofort;immediately;Komm sofort her!;Come here immediately!;adverb;فورًا / حالًا;;;immediately;;;
224;ende;end;Am Ende war alles gut.;In the end everything was fine.;noun;نهاية;n;;end;;;
225;Augen;eyes;Mach die Augen zu.;Close your eyes.;noun;عيون;n;;eyes;;;
226;bevor;before;Ruf mich an, bevor du gehst.;Call me before you leave.;conjunction;قبل ما;;;before;;;
227;stunden;hours;Ich warte seit zwei Stunden.;I’ve been waiting for two hours.;noun;ساعات;f;;hours;;;
228;Minuten;minutes;Gib mir fünf Minuten.;Give me five minutes.;noun;دقايق;f;;minutes;;;
229;entschuldigen;to apologize;Ich muss mich entschuldigen.;I have to apologize.;verb;يعتذر;;;apologize;;;
230;einzige;only / single (feminine);Das ist die einzige Möglichkeit.;That's the only possibility.;adjective;الوحيدة / الوحيد;;;only;;;
231;schlecht;bad;Mir geht es heute schlecht.;I feel bad today.;adjective;وحش;;;bad;;;
232;fangen;to catch / begin;Wir fangen jetzt an.;We are starting now.;verb;يمسك / يبتدي;;;starting;;;
233;plan;plan;Der Plan funktioniert nicht.;The plan isn’t working.;noun;خطة;m;;plan;;;
234;verschwinden;to disappear;Er ist plötzlich verschwunden.;He suddenly disappeared.;verb;يختفي;;verschwunden;disappeared;;;
235;hoch;high / tall;Das Gebäude ist sehr hoch.;The building is very tall.;adjective;عالي / فوق;;;tall;;;
236;trinken;to drink;Ich trinke gern Kaffee.;I enjoy drinking coffee.;verb;يشرب;;trinke;drinking;;;
237;fertig;finished / done;Ich bin fast fertig.;I’m almost finished.;adjective;خلصان / جاهز;;;finished;;;
238;angerufen;called (past);Ich habe dich angerufen.;I called you.;verb;اتصل;;;called;;;
239;wann;when;Wann kommst du?;When are you coming?;adverb;إمتى;;;When;;;
240;schicken;to send;Kannst du mir das schicken?;Can you send me that?;verb;يبعت;;;send;;;
241;Woche;week;Diese Woche ist stressig.;This week is stressful.;noun;أسبوع;f;;week;;;
242;Hilfe;help;Ich brauche Hilfe!;I need help!;noun;مساعدة;f;;help;;;
243;verrückt;crazy;Das ist eine verrückte Idee.;That’s a crazy idea.;adjective;مجنون;;;crazy;;;
244;früher;earlier / before;Früher war alles einfacher.;Earlier, everything was easier.;adverb;زمان / بدري;;;Earlier;;;
245;darüber;about it;Wir müssen darüber reden.;We need to talk about it.;adverb;عن الموضوع ده / عنه;;;about it;;;
246;Land;country;Deutschland ist ein schönes Land.;Germany is a beautiful country.;noun;بلد;n;;country;;;
247;ne;nah / informal “no”;Ne, das glaube ich nicht.;Nah, I don’t think so.;particle;نِه / كده;;;Nah;;;
248;bereit;ready;Ich bin bereit.;I’m ready.;adjective;جاهز;;;ready;;;
249;daran;at it / about it;Ich denke oft daran.;I think about it often.;adverb;في ده / في الموضوع ده;;;about it;;;
250;wichtig;important;Das ist mir wirklich wichtig.;This is really important to me.;adjective;مهم;;;important;;;
251;teil;part;Ich möchte auch ein Teil davon sein.;I want to be a part of it too.;noun;جزء;m;;part;;;
252;Kopf;head;Mein Kopf tut weh.;My head hurts.;noun;دماغ / راس;m;;head;;;
253;dazu;to it / for that;Was sagst du dazu?;What do you say about that?;adverb;معاه / عليه / لكده (حسب الجملة);;;about that;;;
254;schlagen;to hit;Schlag mich nicht!;Don’t hit me!;verb;يضرب;;Schlag;hit;;;
255;schreiben;to write;Ich schreibe eine E-Mail.;I’m writing an email.;verb;يكتب;;schreibe;writing;;;
256;reicht;is enough;Das reicht für heute.;That’s enough for today.;verb;يكفي ;;;enough;;;
257;verlassen;to leave;Ich verlasse die Stadt morgen.;I’m leaving the city tomorrow.;verb;يسيب / يترك;;verlasse;leaving;;;
258;eigentlich;actually;Was willst du eigentlich?;What do you actually want?;adverb;في الحقيقة / بصراحة;;;actually;;;
259;Stadt;city;Diese Stadt ist wunderschön.;This city is beautiful.;noun;"مدينة / بلد (زي ""البلد"")";f;;city;;;
260;nett;nice;Das ist wirklich nett von dir.;That's really nice of you.;adjective;لطيف;;;nice;;;
261;Grund;reason;Dafür gibt es einen guten Grund.;There is a good reason for that.;noun;سبب;m;;reason;;;
262;kurz;short;Ich habe nur eine kurze Frage.;I just have a short question.;adjective;قصير / بسرعة ;;;short;;;
263;hoffe;hope (I hope);Ich hoffe, es klappt.;I hope it works out.;verb;أتمنى;;;hope;;;
264;Typ;type/kind;Was ist das für ein Typ?;What kind of guy is that?;noun;واحد / زلمة / راجل ;m;;kind;;;
265;Wort;word;Ich kenne dieses Wort nicht.;I don’t know this word.;noun;كلمة;n;;word;;;
267;Auto;car;Mein Auto ist kaputt.;My car is broken.;noun;عربية;n;;car;;;
268;sitzen;to sit;Ich sitze im Zug.;I’m sitting on the train.;verb;يقعد;;sitze;sitting;;;
269;kämpfen;to fight;Wir kämpfen bis zum Ende.;We fight until the end.;verb;يقاتل / يناضل;;;fight;;;
270;bedeutet;means;Was bedeutet das Wort?;What does the word mean?;verb;يعني;;;mean;;;
271;egal;doesn’t matter;Mir ist das egal.;I don’t care.;adjective;مش فارقة;;;care;;;
