english,article,german,plural,Example 1,Example 2,Example 3
day,der,Tag,Tage,Heute ist ein schöner Tag.,Am Tag arbeiten viele Leute.,Ich wünsche dir einen guten Tag.
part,der,Teil,Teile,Ein Teil fehlt.,Dieser Teil ist wichtig.,Er nimmt an dem Projekt teil.
week,die,Woche,Wochen,Die Woche hat sieben Tage.,Nächste Woche fahren wir nach Berlin.,Die Woche beginnt am Montag.
year,das,Jahr,Jahre,Das Jahr hat zwölf Monate.,Frohes neues Jahr!,Er lebt seit einem Jahr in Deutschland.
clock,die,Uhr,Uhren,Es ist drei Uhr.,Die Uhr hängt an der Wand.,Um acht Uhr beginnt der Film.
minute,die,Minute,Minuten,Der Bus kommt in einer Minute.,Eine Minute bitte!,Er braucht nur fünf Minuten.
percent,das,Prozent,Prozente,Das sind hundert Prozent richtig.,Sie sparen zwanzig Prozent.,Nur zehn Prozent machen mit.
time,die,Zeit,Zeiten,Ich habe keine Zeit.,Die Zeit vergeht schnell.,Er verbringt viel Zeit mit der Familie.
example,das,Beispiel,Beispiele,Zum Beispiel: Äpfel sind gesund.,Er nennt ein Beispiel.,Kannst du mir ein Beispiel geben?
case,der,Fall,Fälle,Im besten Fall klappt es.,Für diesen Fall gibt es eine Regel.,Der Fall ist kompliziert.
family,die,Familie,Familien,Meine Familie lebt in Berlin.,Er besucht seine Familie.,Die Familie ist sehr groß.
film,der,Film,Filme,Der Film läuft im Kino.,Wir sehen einen Film.,Der Film war spannend.
photo,das,Foto,Fotos,Ich mache ein Foto.,Sie zeigt mir ein Foto.,Das Foto ist sehr schön.
guest,der,Gast,Gäste,Der Gast kommt um acht Uhr.,Wir haben heute einen Gast.,Die Gäste sind freundlich.
money,das,Geld,Gelder,Ich habe kein Geld.,Er verdient viel Geld.,Das Geld liegt auf dem Tisch.
community,die,Gemeinde,Gemeinden,Die Gemeinde ist klein.,Er arbeitet in der Gemeinde.,Viele Menschen leben in dieser Gemeinde.
history / story,die,Geschichte,Geschichten,Die Geschichte ist spannend.,Er erzählt eine Geschichte.,Ich lese deutsche Geschichte.
reason,der,Grund,Gründe,Er nennt den Grund.,Der Grund ist klar.,Es gibt keinen Grund zur Sorge.
group,die,Gruppe,Gruppen,Die Gruppe ist groß.,Er arbeitet in einer Gruppe.,Die Gruppe trifft sich morgen.
church,die,Kirche,Kirchen,Die Kirche ist alt.,Wir besuchen die Kirche.,Viele Leute gehen sonntags in die Kirche.
team (official),die,Mannschaft,Mannschaften,Die Mannschaft trainiert heute.,Unsere Mannschaft hat gewonnen.,Die Mannschaft spielt im Stadion.
meter,der,Meter,Meter,Das Haus ist zehn Meter hoch.,Er läuft hundert Meter.,Ein Meter hat hundert Zentimeter.
member,das,Mitglied,Mitglieder,Er ist Mitglied im Verein.,Viele Mitglieder sind da.,Das Mitglied bezahlt den Beitrag.
month,der,Monat,Monate,Ein Monat hat dreißig Tage.,Sie bleibt einen Monat in Berlin.,Der nächste Monat ist Mai.
name,der,Name,Namen,Wie ist dein Name?,Er schreibt seinen Namen.,Der Name steht auf der Liste.
place / location,der,Ort,Orte,Der Ort ist schön.,Wir treffen uns an einem Ort.,Dieser Ort ist bekannt.
police,die,Polizei,—,Die Polizei kommt schnell.,Ich rufe die Polizei.,Die Polizei kontrolliert das Auto.
president,der,Präsident,Präsidenten,Der Präsident spricht im Fernsehen.,Viele Leute hören dem Präsidenten zu.,Der Präsident besucht das Land.
problem,das,Problem,Probleme,Das Problem ist groß.,Er hat ein Problem.,Wir lösen das Problem.
point,der,Punkt,Punkte,Der Punkt ist wichtig.,Er macht einen Punkt.,Am Ende steht ein Punkt.
school,die,Schule,Schulen,Die Schule beginnt um acht Uhr.,Viele Kinder gehen zur Schule.,Die Schule ist groß.
street,die,Straße,Straßen,Die Straße ist lang.,Viele Autos fahren auf der Straße.,Wir wohnen in der gleichen Straße.
hour / lesson,die,Stunde,Stunden,Der Film dauert zwei Stunden.,Ich warte schon eine Stunde.,Die Stunde ist vorbei.
team,das,Team,Teams,Das Team arbeitet gut zusammen.,Er spielt im Team.,Unser Team hat gewonnen.
subject / issue,das,Thema,Themen,Das Thema ist interessant.,Wir sprechen über ein neues Thema.,Er schreibt über dieses Thema.
company / enterprise,das,Unternehmen,Unternehmen,Das Unternehmen ist groß.,Er arbeitet in einem Unternehmen.,Das Unternehmen hat viele Mitarbeiter.
club / association,der,Verein,Vereine,Der Verein ist alt.,Viele Kinder spielen im Verein.,Er ist Mitglied in einem Verein.
way / path,der,Weg,Wege,Der Weg ist lang.,Er geht den Weg nach Hause.,Gibt es einen anderen Weg?
world,die,Welt,Welten,Die Welt ist groß.,Viele Menschen leben auf der Welt.,Er reist um die Welt.
goal / target,das,Ziel,Ziele,Er erreicht sein Ziel.,Das Ziel ist klar.,Sie verfolgen ein gemeinsames Ziel.
article,der,Artikel,Artikel,Ich lese einen Artikel in der Zeitung.,Der Artikel ist interessant.,Der Artikel steht auf Seite fünf.
type / kind / species,die,Art,Arten,Diese Art von Musik gefällt mir.,Es gibt viele verschiedene Arten.,Welche Art von Arbeit machst du?
beginning / start,der,Anfang,Anfänge,Am Anfang war es schwer.,Der Anfang ist gemacht.,Der Anfang des Buches ist spannend.
statement / info,die,Angabe,Angaben,Bitte machen Sie eine Angabe.,Die Angabe ist falsch.,Er hat keine Angabe dazu.
car,das,Auto,Autos,Das Auto ist neu.,Er fährt ein rotes Auto.,Das Auto steht vor dem Haus.
volume / tome (book),der,Band,Bände,Er trägt ein rotes Band am Arm.,Das Band hält die Kiste zusammen.,Viele bunte Bänder hängen im Zimmer.
area / field,der,Bereich,Bereiche,Der Bereich ist groß.,Viele arbeiten in diesem Bereich.,Dieser Bereich ist wichtig.
book,das,Buch,Bücher,Das Buch liegt auf dem Tisch.,Sie liest ein spannendes Buch.,Viele Bücher stehen im Regal.
chance,die,Chance,Chancen,Er hat eine gute Chance zu gewinnen.,Die Chance ist klein.,Sie nutzt ihre Chance.
success,der,Erfolg,Erfolge,Er hat großen Erfolg.,Der Erfolg war überraschend.,Erfolg macht glücklich.
result / outcome,das,Ergebnis,Ergebnisse,Das Ergebnis ist klar.,Er wartet auf das Ergebnis.,Das Ergebnis steht fest.
conversation,das,Gespräch,Gespräche,Wir führen ein Gespräch.,Das Gespräch war interessant.,Er beginnt ein Gespräch mit ihr.
hand,die,Hand,Hände,Er hebt die Hand.,Sie gibt ihm die Hand.,Die Hand ist verletzt.
information,die,Information,Informationen,Ich brauche mehr Informationen.,Die Information ist falsch.,Sie gibt mir eine Information.
century,das,Jahrhundert,Jahrhunderte,Im 20. Jahrhundert passierte viel.,Ein Jahrhundert hat hundert Jahre.,Das 21. Jahrhundert beginnt im Jahr 2001.
circle / district,der,Kreis,Kreise,Wir sitzen im Kreis.,Der Kreis ist rund.,Viele Orte gehören zum Kreis.
music,die,Musik,—,Ich höre gern Musik.,Die Musik ist laut.,Er macht Musik mit Freunden.
party (political),die,Partei,Parteien,Die Partei gewinnt die Wahl.,Er ist Mitglied einer Partei.,Viele Parteien diskutieren im Parlament.
price / prize,der,Preis,Preise,Der Preis ist hoch.,Er fragt nach dem Preis.,Sie gewinnt einen Preis.
program / show,das,Programm,Programme,Das Programm läuft im Fernsehen.,Er schreibt ein neues Programm.,Das Programm beginnt um acht Uhr.
project,das,Projekt,Projekte,Das Projekt ist groß.,Er arbeitet an einem Projekt.,Das Projekt dauert ein Jahr.
government,die,Regierung,Regierungen,Die Regierung plant ein neues Gesetz.,Die Regierung ist stark.,Viele Menschen kritisieren die Regierung.
region,die,Region,Regionen,Die Region ist bekannt.,Er lebt in einer schönen Region.,Viele Regionen sind betroffen.
season,die,Saison,Saisons,Die Saison beginnt im Sommer.,Diese Saison war erfolgreich.,Nächste Saison spielen sie besser.
victory / win,der,Sieg,Siege,Der Sieg war wichtig.,Er feiert den Sieg.,Das Team hat einen großen Sieg errungen.
state / country,der,Staat,Staaten,Der Staat ist stark.,Der Staat schützt die Bürger.,Jeder Staat hat Gesetze.
title,der,Titel,Titel,Er liest den Titel des Buches.,Der Titel ist falsch.,Sie trägt den Titel „Doktor“.
gate / goal (sports),das,Tor,Tore,Er schießt ein Tor.,Das Tor ist offen.,Die Mannschaft freut sich über das Tor.
work / opus / factory,das,Werk,Werke,Das Werk ist berühmt.,Er liest ein literarisches Werk.,Viele Werke hängen im Museum.
word (idea),das,Wort,Worte,Er sagt ein Wort.,Ich verstehe kein Wort.,Das letzte Wort ist wichtig.
number,die,Zahl,Zahlen,,,
future,die,Zukunft,Zukünfte,Die Zukunft ist ungewiss.,Er denkt an die Zukunft.,Wir planen für die Zukunft.
evening,der,Abend,Abende,Am Abend gehe ich spazieren.,Der Abend ist schön.,Heute Abend kommt Besuch.
exhibition,die,Ausstellung,Ausstellungen,Die Ausstellung ist interessant.,Viele Leute besuchen die Ausstellung.,Die Ausstellung öffnet um zehn Uhr.
task,die,Aufgabe,Aufgaben,Die Aufgabe ist schwer.,Er macht seine Aufgabe.,Jede Aufgabe hat eine Lösung.
office,das,Amt,Ämter,Er arbeitet im Amt.,Das Amt ist zuständig.,Viele Leute warten im Amt.
offer,das,Angebot,Angebote,Das Angebot ist günstig.,Er macht ein Angebot.,Heute gibt es ein neues Angebot.
contribution,der,Beitrag,Beiträge,Er zahlt einen Beitrag.,Der Beitrag ist interessant.,Viele Beiträge stehen in der Zeitung.
glance / look,der,Blick,Blicke,Er wirft einen Blick auf die Uhr.,Ein kurzer Blick genügt.,Ihr Blick ist freundlich.
discussion,die,Diskussion,Diskussionen,Die Diskussion ist spannend.,Wir führen eine Diskussion.,Die Diskussion dauert lange.
effort / commitment,der,Einsatz,Einsätze,Der Einsatz war erfolgreich.,Er zeigt großen Einsatz.,Der Einsatz der Polizei war nötig.
decision,die,Entscheidung,Entscheidungen,Die Entscheidung ist schwer.,Er trifft eine Entscheidung.,Die Entscheidung steht fest.
development,die,Entwicklung,Entwicklungen,Die Entwicklung ist positiv.,Kinder sind in der Entwicklung.,Die Entwicklung dauert Jahre.
company / firm,die,Firma,Firmen,Die Firma ist groß.,Er arbeitet in einer Firma.,Die Firma stellt neue Leute ein.
consequence / episode,die,Folge,Folgen,Die Folge ist klar.,Er sieht eine neue Folge im Fernsehen.,Jede Handlung hat eine Folge.
form / shape,die,Form,Formen,Die Form ist rund.,Er füllt eine Form aus.,Diese Form ist typisch.
soccer / soccer ball,der,Fußball,Fußbälle,Er spielt Fußball.,Fußball ist sehr beliebt.,Wir sehen ein Fußballspiel.
society / organization,die,Gesellschaft,Gesellschaften,Die Gesellschaft ist groß.,Er lebt in einer modernen Gesellschaft.,Jede Gesellschaft hat Regeln.
help,die,Hilfe,Hilfen,Danke für deine Hilfe.,Er braucht dringend Hilfe.,Die Hilfe kommt sofort.
height / amount,die,Höhe,Höhen,Die Höhe ist beeindruckend.,Er hat Angst vor der Höhe.,Die Höhe des Berges ist bekannt.
market,der,Markt,Märkte,Der Markt ist voll.,Wir kaufen Obst auf dem Markt.,Der Markt öffnet um neun Uhr.
measure / action,die,Maßnahme,Maßnahmen,Die Maßnahme ist wichtig.,Er trifft eine Maßnahme.,Neue Maßnahmen helfen den Menschen.
middle / center,die,Mitte,Mitten,Er steht in der Mitte.,Die Stadt liegt in der Mitte des Landes.,In der Mitte des Raumes ist ein Tisch.
possibility / opportunity,die,Möglichkeit,Möglichkeiten,Er hat keine Möglichkeit.,Es gibt viele Möglichkeiten.,Sie nutzt die Möglichkeit.
night,die,Nacht,Nächte,In der Nacht ist es still.,Die Nacht ist lang.,Er arbeitet in der Nacht.
politics / policy,die,Politik,—,Die Politik ist kompliziert.,Viele Menschen interessieren sich für Politik.,Die Politik verändert das Land.
space / room / area,der,Raum,Räume,Der Raum ist groß.,Wir sitzen im selben Raum.,Der Raum hat viele Fenster.
role,die,Rolle,Rollen,Er spielt eine wichtige Rolle.,Die Rolle im Film ist schwer.,Jeder hat eine Rolle im Leben.
matter / thing,die,Sache,Sachen,Die Sache ist kompliziert.,Das ist nicht meine Sache.,Er kümmert sich um die Sache.
position / job,die,Stelle,Stellen,Er sucht eine neue Stelle.,Die Stelle ist wichtig.,An dieser Stelle hören wir auf.
piece / play / slice,das,Stück,Stücke,Er isst ein Stück Kuchen.,Ein Stück fehlt.,Das Theaterstück ist spannend.
phone,das,Telefon,Telefone,Das Telefon klingelt.,Er spricht am Telefon.,Sie hebt das Telefon ab.
event / session,die,Veranstaltung,Veranstaltungen,Die Veranstaltung beginnt um acht Uhr.,Viele Leute besuchen die Veranstaltung.,Die Veranstaltung war interessant.
election / choice,die,Wahl,Wahlen,Die Wahl ist wichtig.,Er trifft eine Wahl.,Die Partei gewinnt die Wahl.
newspaper,die,Zeitung,Zeitungen,Ich lese die Zeitung.,Die Zeitung liegt auf dem Tisch.,Jeden Morgen kommt die Zeitung.
report,der,Bericht,Berichte,Er schreibt einen Bericht.,Der Bericht ist interessant.,Ich lese den Bericht.
construction,der,Bau,Bauten,Der Bau des Hauses dauert lange.,Der Bau ist teuer.,Das ist ein moderner Bau.
stage,die,Bühne,Bühnen,Die Bühne ist hell.,Er steht auf der Bühne.,Viele Schauspieler sind auf der Bühne.
boss (male),der,Chef,Chefs,Der Chef ist streng.,Er spricht mit dem Chef.,Der Chef entscheidet alles.
boss (female),die,Chefin,Chefinnen,Die Chefin ist nett.,Sie spricht mit ihrer Chefin.,Die Chefin gibt eine Anweisung.
leadership / guidance,die,Führung,Führungen,Die Führung durch das Museum war spannend.,Er übernimmt die Führung.,Unter neuer Führung läuft es besser.
idea,die,Idee,Ideen,Er hat eine gute Idee.,Die Idee gefällt mir.,Sie bringt eine neue Idee.
interest,das,Interesse,Interessen,Er zeigt großes Interesse.,Das Interesse an Kunst ist hoch.,Sie hat kein Interesse daran.
fight / conflict,der,Kampf,Kämpfe,Der Kampf ist vorbei.,Viele Tiere sind im Kampf.,Er gewinnt den Kampf.
map / card / ticket,die,Karte,Karten,Die Karte ist teuer.,Wir spielen mit der Karte.,Er zeigt mir die Karte von Berlin.
head,der,Kopf,Köpfe,Er schüttelt den Kopf.,Der Kopf tut weh.,Sie trägt einen Hut auf dem Kopf.
costs / expenses,die,Kosten,—,Die Kosten sind hoch.,Er trägt die Kosten.,Wir teilen die Kosten.
strength / power,die,Kraft,Kräfte,Er hat keine Kraft mehr.,Mit voller Kraft arbeitet er.,Die Maschine braucht viel Kraft.
war,der,Krieg,Kriege,Der Krieg ist vorbei.,Im Krieg leiden viele Menschen.,Der Krieg zerstört die Stadt.
criticism / review,die,Kritik,Kritiken,Die Kritik ist hart.,Er bekommt viel Kritik.,Die Kritik ist berechtigt.
customer (male),der,Kunde,Kunden,Der Kunde wartet an der Kasse.,Viele Kunden sind zufrieden.,Der Kunde bestellt ein Produkt.
customer (female),die,Kundin,Kundinnen,Die Kundin kauft ein Kleid.,Viele Kundinnen kommen ins Geschäft.,Die Kundin bezahlt bar.
art / skill,die,Kunst,Künste,Die Kunst ist schön.,Er studiert Kunst an der Uni.,Sie besucht eine Ausstellung für Kunst.
position / situation,die,Lage,Lagen,Die Lage ist ernst.,Das Haus hat eine gute Lage.,In dieser Lage braucht er Hilfe.
achievement / performance,die,Leistung,Leistungen,Die Leistung ist stark.,Er bringt eine gute Leistung.,Die Leistung wird bezahlt.
literature,die,Literatur,—,Er studiert deutsche Literatur.,Die Literatur ist interessant.,Viele lesen klassische Literatur.
girl,das,Mädchen,Mädchen,Das Mädchen spielt im Garten.,Das Mädchen liest ein Buch.,Viele Mädchen gehen zur Schule.
billion,die,Milliarde,Milliarden,Das Projekt kostet eine Milliarde Euro.,Eine Milliarde Menschen leben hier.,Er hat eine Milliarde verloren.
museum,das,Museum,Museen,Das Museum ist groß.,Wir besuchen das Museum.,Viele Bilder hängen im Museum.
victim / sacrifice,das,Opfer,Opfer,Das Opfer ist verletzt.,Viele Opfer brauchen Hilfe.,Er ist Opfer eines Unfalls.
politician (male),der,Politiker,Politiker,Der Politiker spricht im Fernsehen.,Viele Politiker arbeiten im Parlament.,Der Politiker besucht die Stadt.
politician (female),die,Politikerin,Politikerinnen,Die Politikerin hält eine Rede.,Viele Politikerinnen sitzen im Bundestag.,Die Politikerin ist bekannt.
audience / public,das,Publikum,—,Das Publikum klatscht.,Viele Leute sitzen im Publikum.,Das Publikum ist begeistert.
source / spring,die,Quelle,Quellen,Die Quelle ist sauber.,Er liest eine Quelle im Buch.,Die Quelle des Flusses ist bekannt.
frame / framework,der,Rahmen,Rahmen,Der Rahmen ist aus Holz.,Alles passiert im Rahmen des Gesetzes.,Sie hängt das Bild in einen Rahmen.
law / right,das,Recht,Rechte,Er hat Recht.,Jedes Kind hat ein Recht auf Bildung.,Im Recht zu sein ist wichtig.
direction,die,Richtung,Richtungen,Die Richtung ist falsch.,Er geht in die richtige Richtung.,Welche Richtung sollen wir nehmen?
sentence,der,Satz,Sätze,Der Satz ist lang.,Er schreibt einen deutschen Satz.,Jeder Satz braucht ein Verb.
Swiss person (male),der,Schweizer,Schweizer,Der Schweizer kommt aus Bern.,Viele Schweizer sprechen Deutsch.,Ein Schweizer arbeitet hier.
Swiss person (female),die,Schweizerin,Schweizerinnen,Die Schweizerin wohnt in Zürich.,Viele Schweizerinnen sind sportlich.,Eine Schweizerin erzählt ihre Geschichte.
sense / meaning,der,Sinn,Sinne,Das hat keinen Sinn.,Er versteht den Sinn nicht.,Im Sinn habe ich etwas anderes.
situation,die,Situation,Situationen,Die Situation ist schwierig.,Er erklärt die Situation.,In dieser Situation braucht man Hilfe.
voice / vote,die,Stimme,Stimmen,Die Stimme ist schön.,Er hat eine tiefe Stimme.,Die Stimme des Volkes zählt.
daughter,die,Tochter,Töchter,Meine Tochter ist zehn Jahre alt.,Die Tochter hilft der Mutter.,Er besucht seine Tochter.
death,der,Tod,Tode,Der Tod macht ihm Angst.,Nach dem Tod beginnt die Trauer.,Der Tod des Königs war überraschend.
university,die,Universität,Universitäten,Die Universität ist groß.,Viele Studenten studieren an der Universität.,Er bewirbt sich an einer Universität.
regulation / disposal,die,Verfügung,Verfügungen,Er hat das Auto zur Verfügung.,Die Wohnung steht zur Verfügung.,Die Verfügung tritt morgen in Kraft.
water,das,Wasser,Wässer,Ich trinke ein Glas Wasser.,Das Wasser ist kalt.,Viele Kinder spielen im Wasser.
value,der,Wert,Werte,Das Haus hat einen hohen Wert.,Freundschaft hat großen Wert.,Er kennt den Wert des Geldes.
economy,die,Wirtschaft,Wirtschaften,Die Wirtschaft wächst schnell.,Viele Länder haben eine starke Wirtschaft.,Die Wirtschaft ist wichtig für alle.
train,der,Zug,Züge,Der Zug kommt pünktlich.,Viele Leute fahren mit dem Zug.,Der Zug hält am Bahnhof.
viewer / spectator,der,Zuschauer,Zuschauer,Der Zuschauer klatscht laut.,Viele Zuschauer sehen das Spiel.,Die Zuschauer lachen im Theater.
eye,das,Auge,Augen,Er hat blaue Augen.,Das Auge tut weh.,Ein Auge sieht alles.
operation / firm,der,Betrieb,Betriebe,Der Betrieb ist groß.,Er arbeitet im Betrieb.,Der Betrieb stellt neue Leute ein.
dollar,der,Dollar,Dollar(s),Das Buch kostet zehn Dollar.,Er bezahlt in Dollar.,Ein Dollar ist nicht viel.
internet,das,Internet,—,Das Internet ist langsam.,Viele Menschen nutzen das Internet.,Ich habe kein Internet.
heart,das,Herz,Herzen,Sein Herz schlägt schnell.,Sie hat ein gutes Herz.,Das Herz ist gesund.
speech,die,Rede,Reden,Er hält eine Rede.,Die Rede war lang.,Viele Leute hören seine Rede.
building,das,Gebäude,Gebäude,Das Gebäude ist hoch.,Viele Gebäude stehen in der Stadt.,Wir arbeiten in diesem Gebäude.
village,das,Dorf,Dörfer,Das Dorf ist klein.,Viele Dörfer liegen am Fluss.,Er lebt in einem ruhigen Dorf.
danger,die,Gefahr,Gefahren,"Achtung, Gefahr!",Die Gefahr ist groß.,Er warnt vor der Gefahr.
visit,der,Besuch,Besuche,Wir bekommen Besuch.,Der Besuch kommt morgen.,Ihr Besuch dauert eine Stunde.
youth,die,Jugend,—,Die Jugend ist unsere Zukunft.,In seiner Jugend reiste er viel.,Viele Jugendliche treffen sich im Park.
concept,das,Konzept,Konzepte,Das Konzept ist neu.,Er erklärt das Konzept.,Viele Konzepte sind möglich.
leader (female),die,Leiterin,Leiterinnen,Die Leiterin spricht mit den Mitarbeitern.,Die Leiterin ist streng.,Viele hören auf die Leiterin.
leader (male),der,Leiter,Leiter,Der Leiter ist freundlich.,Der Leiter hält eine Rede.,Der Leiter entscheidet alles.
route / line,die,Linie,Linien,Die Linie ist gerade.,Er zieht eine Linie.,Welche Linie fährt zum Bahnhof?
love,die,Liebe,Lieben,Die Liebe ist stark.,Er spricht von seiner Liebe.,Liebe macht glücklich.
middle / means,das,Mittel,Mittel,Das Mittel ist teuer.,Sie sucht ein Mittel gegen Kopfschmerzen.,Viele Mittel helfen nicht.
defeat / loss,die,Niederlage,Niederlagen,Die Niederlage war schwer.,Nach der Niederlage ist er traurig.,Das Team spricht über die Niederlage.
sport,der,Sport,—,Sport ist gesund.,Er treibt viel Sport.,Viele Kinder machen Sport.
sport type,die,Sportart,Sportarten,Fußball ist meine Lieblingssportart.,Es gibt viele verschiedene Sportarten.,Welche Sportart magst du?
speaker / announcer (female),die,Sprecherin,Sprecherinnen,Die Sprecherin erklärt die Nachricht.,Viele hören der Sprecherin zu.,Die Sprecherin arbeitet im Radio.
speaker / announcer (male),der,Sprecher,Sprecher,Der Sprecher redet laut.,Der Sprecher informiert die Presse.,Viele hören dem Sprecher zu.
start / launch,der,Start,Starts,Der Start war erfolgreich.,Der Start des Projekts ist morgen.,Beim Start gab es Probleme.
system,das,System,Systeme,Das System ist neu.,Er versteht das System nicht.,Viele Systeme sind kompliziert.
union,die,Union,Unionen,Die Europäische Union ist stark.,Die Union beschließt ein Gesetz.,Er arbeitet für die Union.
comparison,der,Vergleich,Vergleiche,Der Vergleich ist interessant.,Sie macht einen Vergleich.,Der Vergleich zeigt Unterschiede.
suggestion / proposal,der,Vorschlag,Vorschläge,Er macht einen Vorschlag.,Der Vorschlag ist gut.,Viele Vorschläge liegen auf dem Tisch.
manner / way,die,Weise,Weisen,Auf diese Weise klappt es.,Jede Weise ist möglich.,Er handelt auf kluge Weise.
cooperation / teamwork,die,Zusammenarbeit,Zusammenarbeiten,Die Zusammenarbeit ist wichtig.,Viele Firmen arbeiten in Zusammenarbeit.,Gute Zusammenarbeit bringt Erfolg.
action / campaign,die,Aktion,Aktionen,Die Aktion ist erfolgreich.,Viele Aktionen laufen im Sommer.,Er startet eine neue Aktion.
doctor (male),der,Arzt,Ärzte,Der Arzt untersucht den Patienten.,Sie geht zum Arzt.,Viele Ärzte arbeiten im Krankenhaus.
doctor (female),die,Ärztin,Ärztinnen,Die Ärztin spricht mit dem Kind.,Viele Ärztinnen arbeiten hier.,Die Ärztin ist sehr freundlich.
bath / bathroom,das,Bad,Bäder,Das Bad ist groß.,Sie nimmt ein Bad.,Das Kind spielt im Bad.
railway / train,die,Bahn,Bahnen,Die Bahn kommt pünktlich.,Viele Menschen fahren mit der Bahn.,Die Deutsche Bahn hat Verspätung.
population,die,Bevölkerung,Bevölkerungen,Die Bevölkerung wächst schnell.,Die Bevölkerung ist alt.,Viele Teile der Bevölkerung sind arm.
federation / union,der,Bund,Bünde,Der Bund beschließt ein neues Gesetz.,Viele Projekte werden vom Bund bezahlt.,Der Bund arbeitet mit den Ländern zusammen.
experience,die,Erfahrung,Erfahrungen,Er hat viel Erfahrung.,Die Erfahrung war schön.,Aus Erfahrung lernt man.
vehicle,das,Fahrzeug,Fahrzeuge,Das Fahrzeug ist neu.,Viele Fahrzeuge stehen auf dem Parkplatz.,Er fährt ein schnelles Fahrzeug.
birthday,der,Geburtstag,Geburtstage,Heute ist mein Geburtstag.,Er feiert seinen Geburtstag.,Alles Gute zum Geburtstag!
opponent (male),der,Gegner,Gegner,Der Gegner ist stark.,Sie besiegen den Gegner.,Der Gegner spielt fair.
opponent (female),die,Gegnerin,Gegnerinnen,Die Gegnerin ist schnell.,Viele Gegnerinnen sind erfahren.,Die Gegnerin gewinnt das Spiel.
court / dish,das,Gericht,Gerichte,Das Gericht entscheidet.,Er geht vor Gericht.,Das Gericht spricht ein Urteil.
business / store,das,Geschäft,Geschäfte,Das Geschäft ist klein.,Sie kauft im Geschäft ein.,Das Geschäft öffnet um neun Uhr.
law,das,Gesetz,Gesetze,Das Gesetz ist neu.,Jedes Land hat Gesetze.,Er kennt das Gesetz nicht.
border / boundary,die,Grenze,Grenzen,Die Grenze ist offen.,Er fährt über die Grenze.,Die Grenze zwischen den Ländern ist lang.
half,die,Hälfte,Hälften,Die Hälfte ist weg.,Er isst die Hälfte des Kuchens.,Die Hälfte der Leute fehlt.
clue / hint,der,Hinweis,Hinweise,Er gibt einen Hinweis.,Der Hinweis ist wichtig.,Sie folgt dem Hinweis.
boy,der,Junge,Jungen,Der Junge spielt im Garten.,Viele Jungen gehen in die Schule.,Der Junge liest ein Buch.
club,der,Klub,Klubs,Er ist Mitglied in einem Klub.,Der Klub trifft sich am Freitag.,Viele Klubs gibt es in der Stadt.
contact,der,Kontakt,Kontakte,Er hat Kontakt mit ihr.,Viele Menschen suchen Kontakt.,Der Kontakt ist wichtig.
culture,die,Kultur,Kulturen,Die Kultur ist reich.,Er interessiert sich für Kultur.,Jedes Land hat seine eigene Kultur.
artist (male),der,Künstler,Künstler,Der Künstler malt ein Bild.,Viele Künstler leben in Berlin.,Der Künstler ist bekannt.
artist (female),die,Künstlerin,Künstlerinnen,Die Künstlerin singt ein Lied.,Viele Künstlerinnen arbeiten im Theater.,Die Künstlerin malt abstrakt.
