prep,forms,de1,de2,de3,de4,de5,de6,de7,de8,de9,de10
wegen,,Wegen des Regens bleiben wir zu Hause,Ich konnte wegen der Arbeit nicht kommen,Wegen dir habe ich das verpasst,Wegen Krankheit fällt der Unterricht aus,Wegen Bauarbeiten ist die Straße gesperrt,Er ist müde wegen des langen Flugs,Wegen der Kinder sprechen wir leise,Wegen des Wetters wurde das Spiel verschoben,Wegen der Prüfung bin ich nervös,Wegen Geldproblemen musste er sparen
während,,Während des Essens soll man nicht sprechen,Ich höre Musik während ich lerne,Während des Urlaubs hat es oft geregnet,"Während er sprach, hörte ich zu",Während der Pause trinken wir Kaffee,Während der Nacht war es sehr still,Während des Films hat niemand geredet,Während des Meetings blieb er ruhig,Während der Fahrt darf man nicht telefonieren,Während des Winters schneit es oft
pro,,Ich trinke zwei Liter Wasser pro Tag,Der Eintritt kostet zehn Euro pro Person,Wir arbeiten fünf Tage pro Woche,Pro Stunde verdiene ich zwölf Euro,Es gibt nur ein Stück Kuchen pro Kind,Pro Monat spare ich hundert Euro,Pro Jahr machen wir zwei Urlaube,Pro Spieler gibt es einen Ball,Wir haben drei Lektionen pro Woche,Der Zug fährt zweimal pro Stunde
laut,,Laut dem Bericht wird das Wetter besser,Laut meiner Mutter soll ich mehr schlafen,Laut Plan beginnt der Kurs um neun Uhr,Laut Statistik essen Deutsche viel Brot,Laut dem Lehrer war die Antwort falsch,Laut Polizei gab es keinen Unfall,Laut Vertrag darf man das nicht,Laut den Nachrichten ist alles in Ordnung,Laut Aussage des Zeugen war er unschuldig,Laut Kalender ist heute Feiertag
statt,,Ich trinke Tee statt Kaffee,Er ging spazieren statt zu arbeiten,Statt der Blumen brachte er Schokolade,Sie hat gelacht statt zu weinen,Wir nehmen den Bus statt des Autos,Statt einer Party machen wir einen Ausflug,Er hat geschwiegen statt zu antworten,"Statt zu helfen, hat er nur zugesehen",Statt ins Kino gehen wir essen,Ich bleibe heute zu Hause statt ins Büro zu gehen
gegenüber,,Das Café liegt dem Bahnhof gegenüber,Sie wohnt mir gegenüber,Er sitzt mir im Zug gegenüber,Das Hotel liegt dem Park gegenüber,Gegenüber seinen Eltern ist er höflich,Das Haus steht der Kirche gegenüber,Ich bin meiner Schwester gegenüber ehrlich,Uns gegenüber war er immer freundlich,Der Laden befindet sich dem Kino gegenüber,Sie ist Kritik gegenüber offen
trotz,,Trotz des Regens gehen wir spazieren,Trotz allem bleibt er ruhig,Trotz seiner Krankheit arbeitet er weiter,Trotz des Sturms fliegt das Flugzeug,Trotz der Warnung fuhr er los,Trotz Müdigkeit lernt sie fleißig,Trotz des Alters ist er fit,Trotz des Verbots hat er es getan,Trotz der Schwierigkeiten haben sie gewonnen,Trotz Angst hat sie es versucht
je,,"Je früher, desto besser","Je mehr ich lerne, desto leichter wird es","Je länger ich warte, desto ungeduldiger werde ich",Je nach Wetter gehen wir spazieren,"Je älter er wird, desto weiser scheint er","Je höher man steigt, desto kälter wird es","Je weniger du sagst, desto mehr hört man zu","Je nachdem, wie du willst, machen wir es","Je schneller du arbeitest, desto früher bist du fertig","Je größer die Stadt, desto lauter der Lärm"
per,,Ich bezahle per Karte,Die Anmeldung erfolgt per E-Mail,Wir schicken das Formular per Post,Bitte sende mir die Rechnung per Mail,Ich buche das Ticket per App,Per Telefon ist das nicht möglich,Die Lieferung kommt per Kurier,Per Zufall habe ich ihn getroffen,Er hat per Handschlag zugestimmt,Die Überweisung erfolgt per Onlinebanking
innerhalb,,Innerhalb der Stadt gibt es viele Parks,Bitte antworte innerhalb von zwei Tagen,Innerhalb eines Jahres hat sich viel verändert,Innerhalb der Gruppe herrscht gute Stimmung,Innerhalb der EU gelten andere Regeln,Innerhalb kurzer Zeit war alles erledigt,Innerhalb des Hauses ist Rauchen verboten,Innerhalb einer Stunde bin ich zurück,Innerhalb dieser Grenzen darfst du bleiben,Innerhalb weniger Minuten kam Hilfe
außer,,Außer mir war niemand da,Ich trinke nichts außer Wasser,Außer Peter kennt das keiner,Außer dem Hund war alles ruhig,Außer an Feiertagen ist das Geschäft geöffnet,"Außer dass er müde ist, geht es ihm gut",Außer dir hat niemand angerufen,Außer Kontrolle geriet das Feuer schnell,Außer Betrieb steht der Aufzug seit gestern,Außer Reichweite des Kindes bitte aufbewahren
zufolge,,Den Angaben zufolge gab es keine Verletzten,Der Polizei zufolge war es ein Unfall,Dem Bericht zufolge steigt die Zahl der Touristen,Zeugen zufolge hat es laut geknallt,Forschern zufolge ist das Ergebnis eindeutig,Der Statistik zufolge leben mehr Menschen in Städten,Medien zufolge soll es morgen regnen,Untersuchungen zufolge ist das gesund,Der Tradition zufolge feiern sie jedes Jahr,Alten Geschichten zufolge spukt es in dem Haus
entlang,,Wir gehen den Fluss entlang,Er fährt die Straße entlang,Entlang der Küste gibt es viele Dörfer,Sie spazieren den Strand entlang,Wir laufen den Zaun entlang,Entlang des Weges stehen Bäume,Das Auto fährt den Kanal entlang,Er joggt den Park entlang,Entlang der Mauer sind Blumen gepflanzt,Sie gehen die Allee entlang
hinter,,Der Garten liegt hinter dem Haus,Er versteckt sich hinter der Tür,Hinter dem Wald ist ein See,Die Sonne verschwindet hinter den Wolken,Hinter dir steht jemand,Hinter dem Projekt steckt viel Arbeit,Er sitzt hinter mir im Bus,Hinter dem Gebäude ist ein Parkplatz,Die Katze läuft hinter dem Auto her,Hinter dem Berg scheint die Sonne
neben,,Ich sitze neben meiner Freundin,Das Kino ist neben dem Restaurant,Neben dem Haus steht ein Baum,Er wohnt neben der Schule,Neben dem Bett liegt ein Buch,Ich arbeite neben dem Studium,Sie stand neben mir in der Schlange,Neben der Arbeit mache ich Sport,Der Hund schläft neben dem Sofa,Neben ihm fühlte ich mich sicher
dank,,Dank deiner Hilfe haben wir es geschafft,Dank dem guten Wetter war der Tag perfekt,Dank ihrer Erfahrung lief alles gut,Dank dir habe ich viel gelernt,Dank moderner Technik ist das möglich,Dank seiner Geduld wurde das Projekt fertig,Dank des Trainings bin ich fit,Dank meinem Bruder habe ich das Auto gefunden,Dank der Ruhe konnte ich mich erholen,Dank des Internets finden wir schnell Informationen
außerhalb,,Außerhalb der Stadt ist es ruhiger,Wir wohnen außerhalb von München,Außerhalb der Öffnungszeiten ist das Geschäft geschlossen,Außerhalb der Saison sind die Hotels günstiger,Außerhalb des Gebäudes darf man rauchen,Außerhalb des Parks gibt es Parkplätze,Außerhalb der Ferien ist weniger los,Außerhalb der Zone gilt das Ticket nicht,Außerhalb des Landes ist das verboten,Außerhalb der Arbeit entspanne ich mich gern
